lukaszlenart,launch4j-maven-plugin,https://github.com/lukaszlenart/launch4j-maven-plugin
plantuml,plantuml-server,https://github.com/plantuml/plantuml-server
Salaboy,Drools_jBPM5-Training-Examples,https://github.com/Salaboy/Drools_jBPM5-Training-Examples
amahule,CoolReader,https://github.com/amahule/CoolReader
picocontainer,picocontainer,https://github.com/picocontainer/picocontainer
thucydides-webtests,thucydides,https://github.com/thucydides-webtests/thucydides
t0xa,gelfj,https://github.com/t0xa/gelfj
servalproject,batphone,https://github.com/servalproject/batphone
kvj,mobileorg-android,https://github.com/kvj/mobileorg-android
sandsmark,QuasselDroid,https://github.com/sandsmark/QuasselDroid
bio4j,bio4j,https://github.com/bio4j/bio4j
neo4j-attic,graphdb,https://github.com/neo4j-attic/graphdb
martinadamek,json-android-compare,https://github.com/martinadamek/json-android-compare
12meses12katas,Febrero-Roman-Numerals,https://github.com/12meses12katas/Febrero-Roman-Numerals
structr,structr,https://github.com/structr/structr
jzachr,goldenorb,https://github.com/jzachr/goldenorb
evgeny-goldin,maven-plugins,https://github.com/evgeny-goldin/maven-plugins
nickfox,Update-Android-UI-from-a-Service,https://github.com/nickfox/Update-Android-UI-from-a-Service
anismiles,websocket-android-phonegap,https://github.com/anismiles/websocket-android-phonegap
docusign,docusign-soap-sdk,https://github.com/docusign/docusign-soap-sdk
TimMoore,mojo-executor,https://github.com/TimMoore/mojo-executor
ushahidi,SMSSync,https://github.com/ushahidi/SMSSync
jnr,jnr-ffi,https://github.com/jnr/jnr-ffi
infinispan,infinispan-quickstart,https://github.com/infinispan/infinispan-quickstart
cloudera,hadoop-common,https://github.com/cloudera/hadoop-common
mkottman,AndroLua,https://github.com/mkottman/AndroLua
k9mail,k-9,https://github.com/k9mail/k-9
LiveRamp,hank,https://github.com/LiveRamp/hank
aichallenge,aichallenge,https://github.com/aichallenge/aichallenge
OlegKrikun,S2E,https://github.com/OlegKrikun/S2E
wso2,wsf,https://github.com/wso2/wsf
MassiveCraft,Factions,https://github.com/MassiveCraft/Factions
xbmc,android,https://github.com/xbmc/android
arquillian,arquillian-graphene,https://github.com/arquillian/arquillian-graphene
elasticinbox,elasticinbox,https://github.com/elasticinbox/elasticinbox
taweili,ardublock,https://github.com/taweili/ardublock
FasterXML,jackson-module-afterburner,https://github.com/FasterXML/jackson-module-afterburner
gridengine,gridengine,https://github.com/gridengine/gridengine
perl6,nqp,https://github.com/perl6/nqp
operasoftware,operaprestodriver,https://github.com/operasoftware/operaprestodriver
ageneau,ecl-android,https://github.com/ageneau/ecl-android
